FID,OBJECTID,SHAPE,NAME,ADRESSE,WEITERE_INF,SE_ANNO_CAD_DATA
SEHENSWUERDIGOGD.92993,92993,POINT (16.373667033114803 48.21075446499098),Ankeruhr,Hoher Markt 10/11,http://www.wien.info/article.asp?IDArticle=2018,
SEHENSWUERDIGOGD.92994,92994,POINT (16.401661221006314 48.182967852920775),Friedhof St. Marx,Leberstraße 6-8,http://www.wien.gv.at/umwelt/parks/anlagen/friedhof-st-marx.html,
SEHENSWUERDIGOGD.92995,92995,POINT (16.291251819570988 48.21286564527366),Kuffner-Sternwarte,Johann-Staud- Straße 10,http://www.kuffner.ac.at,
SEHENSWUERDIGOGD.92996,92996,POINT (16.37128536485903 48.20095894769477),Künstlerhaus,Karlsplatz 5,http://www.k-haus.at,
SEHENSWUERDIGOGD.92997,92997,POINT (16.35848482492768 48.20810859079746),Parlament,Dr.-Karl-Renner-Ring 3,http://www.parlament.gv.at,
SEHENSWUERDIGOGD.92998,92998,POINT (16.39500562331404 48.2161226989382),Planetarium,Oswald Thomas Platz 1,http://www.planetarium-wien.at,
SEHENSWUERDIGOGD.92999,92999,POINT (16.357291874373033 48.21082367707388),Rathaus,Friedrich-Schmidt- Platz 1,http://www.wien.gv.at/buergerdienst/stadtinfo/rathausfuehrung,
SEHENSWUERDIGOGD.93000,93000,POINT (16.366827776091235 48.20728576288226),Spanische Hofreitschule,Michaelerplatz 1,http://www.srs.at,
SEHENSWUERDIGOGD.93001,93001,POINT (16.37480126609056 48.21161050811439),Synagoge,Seitenstettengasse 2-4,http://www.jmw.at,
SEHENSWUERDIGOGD.93002,93002,POINT (16.383930200298963 48.21154715632915),Urania Sternwarte,Uraniastraße 1,http://www.urania-sternwarte.at,
SEHENSWUERDIGOGD.93003,93003,POINT (16.36910592891493 48.2032582534874),Wiener Staatsoper,Opernring 2,http://www.wiener-staatsoper.at,
SEHENSWUERDIGOGD.93004,93004,POINT (16.438719546791315 48.151263650534325),Zentralfriedhof (Ehrengräber),Simmeringer Hauptstraße 234,http://www.friedhoefewien.at/fhw/ep/channelView.do/channelId/-26709/pageTypeId/13572,
SEHENSWUERDIGOGD.93005,93005,POINT (16.368192278416373 48.20457279441526),Albertina,Albertinaplatz 1,http://www.albertina.at,
SEHENSWUERDIGOGD.93006,93006,POINT (16.37306751380093 48.203842034890236),Haus der Musik,Seilerstätte 30,http://www.hdm.at,
SEHENSWUERDIGOGD.93007,93007,POINT (16.352937093396132 48.19756916635613),Haus des Meeres,Fritz-Grünbaum-Platz 1,http://www.haus-des-meeres.at,
SEHENSWUERDIGOGD.93008,93008,POINT (16.369406705080205 48.20712109794745),Jüdisches Museum der Stadt Wien,Dorotheergasse 11,http://www.jmw.at,
SEHENSWUERDIGOGD.93009,93009,POINT (16.369858130433744 48.205608780860025),Kaisergruft (Kapuzinergruft),Tegetthoffstraße 2,http://www.kaisergruft.at,
SEHENSWUERDIGOGD.93010,93010,POINT (16.39350061425079 48.21108295153063),KunstHausWien - Friedensreich Hundertwasser,Untere Weißgerberstraße 13,http://www.kunsthauswien.com,
SEHENSWUERDIGOGD.93011,93011,POINT (16.35957440356108 48.222602568463486),Palais Liechtenstein,Fürstengasse 1,http://www.liechtensteinmuseum.at,
SEHENSWUERDIGOGD.93012,93012,POINT (16.381583648825064 48.20757434927788),MAK - Österreichisches Museum für angewandte Kunst,Stubenring 5,http://www.mak.at,
SEHENSWUERDIGOGD.93013,93013,POINT (16.37490522065433 48.20815880271996),"Mozarthaus Vienna ""Figarohaus""",Domgasse 5,http://www.mozarthausvienna.at,
SEHENSWUERDIGOGD.93014,93014,POINT (16.358538956391854 48.20329390091692),MuseumsQuartier Wien,Museumsplatz 1(HOF E1/5),http://www.mqw.at,
SEHENSWUERDIGOGD.93015,93015,POINT (16.380861000236685 48.191628887678625),Oberes Belvedere,Prinz-Eugen-Straße 27,http://www.belvedere.at,
SEHENSWUERDIGOGD.93016,93016,POINT (16.36538903245094 48.205708825222764),Österreichische Nationalbibliothek,Josefsplatz 1,http://www.onb.ac.at,
SEHENSWUERDIGOGD.93017,93017,POINT (16.367767945485717 48.205533905707895),Augustinerkirche,Josefsplatz,http://www.kaisergruft.at/augustiner/augustiner.htm,
SEHENSWUERDIGOGD.93018,93018,POINT (16.36138370237263 48.210298906019645),Burgtheater,Dr.-Karl-Lueger-Ring 2,http://www.burgtheater.at,
SEHENSWUERDIGOGD.93019,93019,POINT (16.410024806655144 48.24024577557429),Donauturm,Donauturmstraße 4,http://www.donauturm.at,
SEHENSWUERDIGOGD.93020,93020,POINT (16.308727679572506 48.17827582631082),Gloriette,Gloriette,http://www.schoenbrunn.at,
SEHENSWUERDIGOGD.93021,93021,POINT (16.364935443621118 48.2065521406637),Hofburg,Hofburg,http://www.hofburg-wien.at,
SEHENSWUERDIGOGD.93022,93022,POINT (16.397777060085474 48.24513363380669),Islamisches Zentrum Wien / Moschee,Am Bruckhafen 3,http://www.islamiccentre.at,
SEHENSWUERDIGOGD.93023,93023,POINT (16.37188467947388 48.198268269621536),Karlskirche,Karlsplatz,http://www.karlskirche.at,
SEHENSWUERDIGOGD.93024,93024,POINT (16.37263593559322 48.20051891179954),Musikverein,Bösendorferstraße 12,http://www.musikverein.at/,
SEHENSWUERDIGOGD.93025,93025,POINT (16.365776021454174 48.20048785810917),Secession,Friedrichstraße 12,http://www.secession.at,
SEHENSWUERDIGOGD.93026,93026,POINT (16.36299031434416 48.2186875110471),Sigmund Freud Museum,Berggasse 19,http://www.freud-museum.at,
SEHENSWUERDIGOGD.93029,93029,POINT (16.381101966825252 48.2099737655915),Wagner:Werk Museum Postsparkasse,Georg-Coch-Platz 2,http://www.ottowagner.com/oesterreichische-postsparkasse/,
SEHENSWUERDIGOGD.93030,93030,POINT (16.359620414405153 48.20655934258129),Palais Epstein,Dr.-Karl-Renner-Ring 1,http://www.parlament.gv.at/GEBF/EPSTEIN/,
SEHENSWUERDIGOGD.93031,93031,POINT (16.360683147673182 48.21302585083619),Universität Wien,Universitätsring 1,http://www.univie.ac.at/,
SEHENSWUERDIGOGD.93032,93032,POINT (16.379789096809862 48.196967285716305),Unteres Belvedere,Rennweg 6,http://www.belvedere.at/,
SEHENSWUERDIGOGD.93033,93033,POINT (16.253404685662233 48.14763313187073),Wotrubakirche,Rysergasse 2,http://www.georgenberg.at/,
SEHENSWUERDIGOGD.93034,93034,POINT (16.278775472937717 48.21065498099298),Kirche am Steinhof,Baumgartener Höhe 1,http://www.wienkav.at/kav/ows/texte_anzeigen.asp?id=2268,
SEHENSWUERDIGOGD.93035,93035,POINT (16.36737187095563 48.20796379149775),Michaelerkirche,Michaelerplatz,http://www.michaelerkirche.at,
SEHENSWUERDIGOGD.93036,93036,POINT (16.302929302713736 48.184267113556906),Palmenhaus,Schönbrunner Schloßpark,http://www.schoenbrunn.at,
SEHENSWUERDIGOGD.93037,93037,POINT (16.395899457997896 48.21663385826322),Riesenrad,Prater,http://www.wienerriesenrad.com,
SEHENSWUERDIGOGD.93038,93038,POINT (16.3127359334708 48.185744138133586),Schloss Schönbrunn,Schönbrunner Schloßstraße,http://www.schoenbrunn.at,
SEHENSWUERDIGOGD.93039,93039,POINT (16.36643889914607 48.20542292009458),Schmetterlinghaus,Burggarten,http://www.schmetterlinghaus.at,
SEHENSWUERDIGOGD.93040,93040,POINT (16.308967564480003 48.182362762458496),Schönbrunn - Irrgarten,Schönbrunner Schloßpark,http://www.schoenbrunn.at,
SEHENSWUERDIGOGD.93041,93041,POINT (16.373140357653114 48.208455890655436),Stephansdom,Stephansplatz,http://www.stephanskirche.at,
SEHENSWUERDIGOGD.93042,93042,POINT (16.304178016746338 48.18200558264164),Tiergarten Schönbrunn,Schönbrunner Schloßpark,http://www.zoovienna.at,
SEHENSWUERDIGOGD.93043,93043,POINT (16.416838209784697 48.234791442402226),UNO-City,Wagramer Straße 3-5,http://www.unvienna.org,
